id,title,des,domain,rank,logo
900,Alpha Juniors,منصة تعليمية متخصصة في تنمية مهارات الأطفال والشباب في التقنية والبرمجة.,alphajuniors.com,0,0
9080,إدراك,منصة تعليمية تقدم مساقات مجانية باللغة العربية في مختلف المجالات.,edraak.org,0,0
902,رواق,منصة للتعليم المفتوح توفر محاضرات أكاديمية وتدريبية.,rwaq.org,0,0
903,أكاديمية حسوب,منصة متخصصة في دورات البرمجة والتسويق والعمل الحر.,academy.hsoub.com,0,0
904,نُفهم,شروحات مرئية للمناهج المدرسية في دول عربية.,nafham.com,0,0
905,مهارة,منصة عربية لتعلم المهارات الرقمية والمهنية.,maharah.net,0,0
906,مدرسة,منصة تعليمية شاملة توفر دروساً في العلوم والرياضيات.,madrasa.org,0,0
907,أبواب,منصة تفاعلية للمناهج الدراسية.,abwaab.me,0,0
908,هرمش,موقع متخصص في تعليم علوم الحاسوب والبرمجة ببساطة.,harmash.com,0,0
909,سديم,منصة تعليمية تقدم دورات متنوعة لتطوير المهارات.,sadeem.org,0,0
910,إيدوبيا,منصة لتعليم البرمجة والمهارات التقنية للأطفال والشباب.,edubia.net,0,0
911,أشطر,منصة تعليمية لدعم الطلاب في المراحل الدراسية.,ashter.com,0,0
912,مدرستنا بلس,منصة تعليمية مصرية للمناهج الدراسية.,moe.gov.eg,0,0
913,حصص مصر,منصة تفاعلية لطلاب الثانوية العامة.,hesas.eg,0,0
914,فرست ستيب,منصة لدعم المسار التعليمي للطلاب.,firststep.com,0,0
915,الخطاط,منصة لتعليم فنون الخط العربي.,alkhatat.net,0,0
916,تمكين,منصة لتقديم دورات تدريبية وتأهيلية.,tamkeen-edu.com,0,0
917,ندرس دوت كوم,منصة توفر مقررات تعليمية متنوعة.,nadrus.com,0,0
918,شروح,منصة للمواد العلمية كـ الرياضيات والفيزياء.,shroo7.com,0,0
919,كلاسيرا,منصة متكاملة لإدارة التعلم والمدارس الذكية.,classera.com,0,0
920,نمو,منصة تعليمية تستهدف الطلاب وأولياء الأمور.,nomo.sa,0,0
921,أكاديمية طويق,منصة سعودية لتدريب الكوادر التقنية.,tuwaiq.edu.sa,0,0
922,مسار,منصة لتقديم مسارات تعليمية تقنية.,masar.sa,0,0
923,أكاديمية ملهم,منصة تعليمية للمهارات العامة والتقنية.,mulham.academy,0,0
924,بوابة عين,بوابة التعليم الوطنية السعودية.,ien.edu.sa,0,0
925,دروس أونلاين,منصة تعليمية لتعلم اللغات والمهارات.,droosonline.com,0,0
926,معهد آي تي بي,تعليم تقني ومهني.,itp.sa,0,0
927,أكاديمية زاد,تعليم العلوم الشرعية واللغة العربية.,zad-academy.com,0,0
928,موسوعة حسوب,مرجع المطورين العرب التقني.,wiki.hsoub.com,0,0
929,أكاديمية دوت كوم,دورات تعليمية متنوعة.,academy.com,0,0
930,الجامعة المصرية للتعلم الإلكتروني,مؤسسة أكاديمية للتعليم عن بعد.,eelu.edu.eg,0,0
931,منصة سطر,لتعلم البرمجة وتقنيات المستقبل.,satr.codes,0,0
932,أكاديمية سدايا,لتعليم الذكاء الاصطناعي.,sdaia.gov.sa,0,0
933,مهارات جوجل,تدريب على التسويق الرقمي والتقنية.,learndigital.withgoogle.com,0,0
934,أكاديمية نون,دروس تفاعلية للطلاب.,noonacademy.com,0,0
935,بي كود,تعليم البرمجة للصغار.,becode.org,0,0
936,أكاديمية عِلم,دورات في العلوم والتقنية.,elm.edu.sa,0,0
937,سيماتك,منصة تدريب تقني.,sematech.edu.sa,0,0
938,تعلّم بالعربي,دروس ومقالات تعليمية.,learnarabic.com,0,0
939,أكاديمية البرمجة العربية,تعلم أساسيات البرمجة.,arabcoding.academy,0,0
940,مبادرة العطاء الرقمي,توعية تقنية ودورات.,attaa.sa,0,0
941,المنصة الوطنية للتعليم الإلكتروني,مبادرة حكومية.,nelc.gov.sa,0,0
942,أكاديمية المهارات,تطوير مهارات شخصية ومهنية.,skill-academy.com,0,0
943,روافد,منصة إلكترونية للمناهج الدراسية.,rawafed.edu.bh,0,0
944,تعلم معنا,منصة تعليمية مدرسية.,learnwithus.com,0,0
945,أكاديمية بناء,تطوير الشخصية والمهارات.,benaa.edu.sa,0,0
946,منصة سماء,دورات تدريبية عامة.,samaa.edu,0,0
947,أكاديمية إنجاز,تعليم المهارات العملية.,injaz.sa,0,0
948,دروب,منصة وطنية للتدريب الإلكتروني.,doroob.sa,0,0
949,أكاديمية مسك,مبادرات تعليمية ومهنية.,miskschools.edu.sa,0,0
950,بوابة المستقبل,للتحول الرقمي في التعليم.,futuregate.moe.gov.sa,0,0
951,منصة مدرستي,المنصة الرسمية للتعليم في السعودية.,schools.madrasati.sa,0,0
952,أكاديمية رؤية,دورات تدريبية إدارية.,roya-academy.com,0,0
953,مركز تعليم الكبار,مواد لتعليم الكبار.,adult-edu.sa,0,0
954,منصة ثقة,تعليم مهارات الثقة بالنفس.,thiqa.academy,0,0
955,أكاديمية المبدعين,لتعليم الفنون والمهارات الإبداعية.,creative-academy.com,0,0
956,بوابة التعليم العالي,خدمات تعليمية أكاديمية.,higher-edu.eg,0,0
957,منصة مهاراتي,تطوير المهارات الحياتية.,maharati.edu,0,0
958,أكاديمية طموح,برامج تعليمية للشباب.,tomooh-academy.com,0,0
959,منصة رائد,تعليم ريادة الأعمال.,raed-edu.com,0,0
960,أكاديمية تقني,تعليم علوم الحاسب.,taqni-academy.com,0,0
961,منصة البث المباشر,حصص افتراضية مصرية.,stream.moe.gov.eg,0,0
962,أكاديمية لغة,لتعليم اللغات.,language-academy.net,0,0
963,منصة فكر,تطوير التفكير النقدي.,fiker-edu.com,0,0
964,أكاديمية تصميم,لتعليم التصميم الجرافيكي.,design-academy.me,0,0
965,منصة نبراس,تعليم متنوع.,nebras-edu.sa,0,0
966,أكاديمية الإبداع الرقمي,تدريب رقمي.,digital-creativity.sa,0,0
967,منصة التميز,تعليم أكاديمي.,excellence-edu.com,0,0
968,أكاديمية تطوير,تطوير المعلمين.,tatweer-academy.sa,0,0
969,منصة فصول,إدارة الفصول الدراسية.,fosul.com,0,0
970,أكاديمية التمكين التقني,تعليم تقني.,tech-empower.sa,0,0
971,منصة أفق,تعليم عن بعد.,ofouq-edu.com,0,0
972,أكاديمية النجاح,دورات عامة.,najah-academy.net,0,0
973,منصة خطوات,تعليم أساسيات.,khatawat-edu.com,0,0
974,أكاديمية تفوق,مناهج دراسية.,tafawuq-edu.sa,0,0
975,منصة مسار المستقبل,مهارات المستقبل.,future-path.sa,0,0
976,أكاديمية إبداع,مهارات متنوعة.,ibdaa-academy.com,0,0
977,منصة طموحي,تعليم وتدريب.,tomoohi-edu.sa,0,0
978,أكاديمية العلوم العربية,علوم وتقنية.,arab-science.academy,0,0
979,منصة تدريب,دورات مهنية.,tadreeb-online.com,0,0
980,أكاديمية المهارات التقنية,برمجة وتقنية.,tech-skills.academy,0,0
981,منصة تعلم,تعليم عام.,taallam-edu.com,0,0
982,أكاديمية المعرفة,مكتبة تعليمية.,knowledge-academy.net,0,0
983,منصة ابتكار,تعليم الابتكار.,ibtikar-edu.sa,0,0
984,أكاديمية القيادة,تطوير إداري.,leadership-academy.sa,0,0
985,منصة وعي,توعية وتعليم.,waei-edu.com,0,0
986,أكاديمية بناء الإنسان,تنمية بشرية.,human-build.academy,0,0
987,منصة تميز,أداء أكاديمي.,tamayuz-edu.sa,0,0
988,أكاديمية المستقبل,تعليم شامل.,future-academy.net,0,0
989,منصة فطن,تعليم قيمي ومهاري.,fatan-edu.sa,0,0
990,أكاديمية التميز التقني,تدريب تقني.,excellence-tech.sa,0,0
991,منصة ريادة,تعليم أعمال.,riada-edu.com,0,0
992,أكاديمية أفق,تعليم واسع.,ofouq-academy.sa,0,0
993,منصة نبض,تعليم صحي وأكاديمي.,nabd-edu.com,0,0
994,أكاديمية عطاء,تعليم مجتمعي.,ataa-academy.sa,0,0
995,منصة همة,تعليم طموح.,himma-edu.com,0,0
996,أكاديمية تطوير المهارات,تنمية مهارات.,skills-dev.sa,0,0
997,منصة إنجاز,تعليم عملي.,injaz-edu.net,0,0
998,أكاديمية الإتقان,تعليم جودة.,itqan-academy.sa,0,0
999,منصة تعلم العربي,تعليم اللغة العربية.,learn-ar-online.com,0,0
